rev_id,rev_user_text,rev_deleted,rev_page
1378,Malcolm Farmer,0,5030553
1380,Robert Merkel,0,5030553
1391,Dreamyshade,0,5030553
1392,AxelBoldt,0,47375
1399,JHK,0,36902
1407,Derek Ross,0,36513
1419,RAE,0,3921
1422,Robert Merkel,0,47375
1426,Marj Tiefert,0,36901
1427,ClaudeMuncey,0,28134
1432,Dreamyshade,0,23871
1435,AxelBoldt,0,16824902
1441,Mav,0,36793
1443,Mav,0,36912
1451,Chuck Smith,0,39066
1452,Mav,0,30543
1454,Chuck Smith,0,47375
1457,Brion VIBBER,0,36865
1466,Chuck Smith,0,25414
1469,Mav,0,25507
1474,Zundark,0,36714
1475,Mav,0,36915
1476,Mav,0,36915
1478,Mav,0,36921
1479,Mav,0,36921
1481,Mav,0,36915
1484,Dreamyshade,0,5772
1487,Mav,0,36793
1497,Mark Ryan,0,17546
1498,RobLa,0,38211935
1499,Mav,0,36915
1503,RobLa,0,38211935
1504,RobLa,0,38211935
1506,RobLa,0,38211935
1507,Mark Ryan,0,36928
1509,RobLa,0,38211935
1510,RobLa,0,38211935
1511,RobLa,0,38211935
1513,SteveSmith,0,21486576
1514,Chuck Smith,0,23871
1516,CYD,0,18933234
1517,Mark Ryan,0,36932
1521,Dreamyshade,0,13592
1527,RobLa,0,36934
1532,SteveSmith,0,36480
1534,SteveSmith,0,36480
1536,RobLa,0,36937
1540,RobLa,0,36937
1542,Dreamyshade,0,5326
1543,RobLa,0,36938
1547,RobLa,0,36938
1551,Bryan Derksen,0,19737
1557,Robert Merkel,0,36908
1559,Dreamyshade,0,10204
1561,Chuck Smith,0,36714
1562,Carey Evans,0,18727
1578,Dreamyshade,0,5030553
1580,Mark Ryan,0,1274
1581,Girlich,0,25394701
1587,Bryan Derksen,0,4689264
1590,Mark Ryan,0,4689264
1593,Girlich,0,25215
1600,Girlich,0,36951
1601,JHK,0,6969
1604,David Parker,0,36787
1605,Brion VIBBER,0,36865
1611,Rjstott,0,36959
1614,Rjstott,0,36959
1616,Dragon Dave,0,36961
1618,Rjstott,0,1938
1622,Clasqm,0,36969
1623,Clasqm,0,36971
1630,Malcolm Farmer,0,36960
1631,Malcolm Farmer,0,11009
1632,Mav,0,36915
1635,Mav,0,2076
1637,Malcolm Farmer,0,36940
1638,Rjstott,0,1938
1639,Clasqm,0,36980
1641,Malcolm Farmer,0,1010
1644,Derek Ross,0,32616
1645,MichaelTinkler,0,2076
1648,Jan Hidders,0,36837
1649,Sjc,0,36985
1654,Sjc,0,36985
1663,MichaelTinkler,0,26714
1669,Mark Ryan,0,5030553
1683,Chuck Smith,0,36987
1690,Guppie,0,36982
1694,TwoOneTwo,0,36472
1697,MichaelTinkler,0,36923
1702,Matthew Woodcraft,0,18938782
1705,Tarquin,0,18938782
1706,Tarquin,0,18938782
1711,Tarquin,0,18938782
1712,AlexWasFirst,0,36995
1716,Chuck Smith,0,21734
1720,David Parker,0,36787
1723,Malcolm Farmer,0,36999
1728,DanKeshet,0,24002
1730,Malcolm Farmer,0,36999
1731,Dreamyshade,0,10326
1735,Malcolm Farmer,0,36586
1749,The Epopt,0,37007
1753,AxelBoldt,0,47375
1754,AxelBoldt,0,47375
1757,-- April,0,37010
1769,-- April,0,37010
1771,Wesley,0,23673
1778,JHK,0,37015
1780,AxelBoldt,0,47375
1789,David Parker,0,36787
1790,Mav,0,36477
1796,-- April,0,36884
1799,RAE,0,32675
1801,Verloren,0,24362712
1803,RAE,0,36746
1804,RAE,0,36746
1805,Eloquence,0,5902
1806,Zundark,0,5902
1810,RAE,0,36746
1812,RAE,0,36746
1813,RAE,0,36746
1814,RAE,0,36746
1817,RAE,0,36746
1822,RjLesch,0,36474
1825,Slrubenstein,0,18951655
1829,RjLesch,0,36474
1835,RK,0,37025
1839,Slrubenstein,0,19159508
1841,OprgaG,0,21285632
1842,Slrubenstein,0,19159508
1845,Slrubenstein,0,19159508
1847,-- April,0,2912
1852,-- April,0,37031
1854,-- April,0,2864
1855,-- April,0,2912
1864,LC~enwiki,0,37035
1872,Ed Poor,0,37038
1875,Derek Ross,0,35190
1880,Zundark,0,15807
1881,Dreamyshade,0,21470
1885,LC~enwiki,0,18393
1886,Chuck Smith,0,3401
1890,Calypso,0,58800
1892,King of birds,0,36611
1895,AxelBoldt,0,36512
1896,AxelBoldt,0,36591
1897,Dreamyshade,0,16824902
1898,AxelBoldt,0,36512
1901,Dreamyshade,0,7516
1908,Calypso,0,18190
1914,The Epopt,0,22085
1915,Calypso,0,37042
1916,The Epopt,0,22085
1918,Zundark,0,17530
1920,Magnus Manske,0,18825270
1921,Mav,0,23053
1925,Dreamyshade,0,21391464
1926,AxelBoldt,0,21391464
1927,AxelBoldt,0,36714
1929,-- April,0,37037
1931,AxelBoldt,0,9969552
1933,AxelBoldt,0,36512
1938,Dan~enwiki,0,37044
1940,Zundark,0,6883
1943,-- April,0,37037
1944,Clasqm,0,36968
1950,AxelBoldt,0,18932421
1954,AxelBoldt,0,39748718
1955,AxelBoldt,0,39748718
1956,AxelBoldt,0,39748718
1959,Vicki Rosenzweig,0,36968
1962,AxelBoldt,0,39748718
1966,-- April,0,2864
1967,Chuck Smith,0,36509
1978,JHK,0,37045
1979,JHK,0,37045
1984,MichaelTinkler,0,36915
1987,JHK,0,37046
1988,JHK,0,37046
1990,Mav,0,36923
1991,MichaelTinkler,0,22086
1992,MichaelTinkler,0,22086
1994,SteveSmith,0,37053
1995,SteveSmith,0,36480
1998,MichaelTinkler,0,37054
1999,-- April,0,37010
2000,MichaelTinkler,0,22086
2001,MichaelTinkler,0,22086
2002,MichaelTinkler,0,37052
2007,AxelBoldt,0,9969552
2008,ClaudeMuncey,0,28134
2009,MichaelTinkler,0,22086
2012,The Epopt,0,22085
2014,JHK,0,36910
2015,Marj Tiefert,0,36910
2021,Robert Merkel,0,22085
2022,Robert Merkel,0,22086
2036,Wesley,0,22086
2037,Dan~enwiki,0,19404136
2045,Robert Merkel,0,22086
2046,Wesley,0,22085
2047,GayCommunist,0,18618607
2049,Danny,0,9025
2051,Wesley,0,9026
2054,Stephen Gilbert,0,5030553
2064,Mav,0,21019
2072,Holger~enwiki,0,37057
2073,AxelBoldt,0,18825270
2075,Jan Hidders,0,18825270
2076,Carey Evans,0,18825270
2079,Olof,0,21275
2082,Mav,0,37058
2084,Mav,0,21019
2085,Mav,0,21019
2086,Wesley,0,22086
2088,Mav,0,21019
2089,Mav,0,21019
2091,MichaelTinkler,0,21019
2092,MichaelTinkler,0,21019
2095,Rjstott,0,15800
2098,Jeronimo,0,22477
2102,Joao,0,25936
2113,Joao,0,18659840
2114,OprgaG,0,37096
2116,Szopen,0,20804
2121,Verloren,0,37036
2124,Rjstott,0,37096
2125,OprgaG,0,37096
2127,Rjstott,0,37065
2131,MichaelTinkler,0,11457
2133,Zundark,0,37065
